type,monkey,RW,cond,rt,err,pred
D2ERR-RT,Monkey KN,1,0,497.5841584,0.251851852,0.110363092
D2ERR-RT,Monkey KN,1,0,451.8315789,0.077669903,0.081713668
D2ERR-RT,Monkey KN,1,1,531.4214286,0.247311828,0.131551369
D2ERR-RT,Monkey KN,1,1,520.7350427,0.158273381,0.124859751
D2ERR-RT,Monkey KN,1,1,578.6796117,0.127118644,0.161143575
D2ERR-RT,Monkey KN,1,1,473.7468354,0.225490196,0.095436599
D2ERR-RT,Monkey KN,1,2,527.4696133,0.242677824,0.129076815
D2ERR-RT,Monkey KN,1,2,446.028436,0.094420601,0.078079846
D2ERR-RT,Monkey KN,1,2,534.1045752,0.120689655,0.133231506
D2ERR-RT,Monkey KN,1,2,454.140625,0.157894737,0.08315955
D2ERR-RT,Monkey KN,1,3,487.7751196,0.173913043,0.104220852
D2ERR-RT,Monkey KN,1,3,420.3606557,0.07106599,0.062007154
D2ERR-RT,Monkey KN,1,3,524.3303571,0.194244604,0.127111071
