"","S","mk","RW","cond","err","rt"
"210","2115","stan","2","saline",0.0441767068273092,357.22268907563
"211","2116","stan","2","saline",0.0401234567901235,358.302250803858
"212","2117","stan","2","saline",0.0507462686567164,368.399371069182
"213","2118","stan","2","saline",0.0426229508196721,342.013698630137
"214","2119","stan","2","saline",0.0266666666666667,358.349315068493
"215","2120","stan","2","saline",0.0432276657060519,337.478915662651
"216","2121","stan","2","saline",0.0278637770897833,347.71974522293
"217","2122","stan","2","saline",0.0764705882352941,361.168789808917
"218","2123","stan","2","saline",0.0131578947368421,359.65
"219","2124","stan","2","saline",0.0231884057971014,345.489614243323
"220","2125","stan","2","saline",0.0189873417721519,338.416129032258
"221","2126","stan","2","saline",0.0228571428571429,350.502923976608
"222","2127","stan","2","saline",0.0340557275541796,376.961538461538
"223","2128","stan","2","saline",0.0476190476190476,383.50625
"224","2129","stan","2","saline",0.0222222222222222,371.409090909091
"225","2130","stan","2","saline",0.0431893687707641,395.479166666667
"226","2131","stan","2","saline",0.102167182662539,396.834482758621
"295","2201","stan","3","0.01",0.0262295081967213,349.474747474747
"296","2202","stan","3","0.01",0.0125391849529781,345.574603174603
"297","2203","stan","3","0.01",0.0212765957446809,346.467391304348
"309","2301","stan","3","0.03",0.00967741935483871,347.530944625407
"310","2302","stan","3","0.03",0.0316742081447964,392.271028037383
"311","2303","stan","3","0.03",0.0458015267175573,370.192
"312","2304","stan","3","0.03",0.0165289256198347,373.781512605042
"325","2401","stan","3","0.05",0.0107142857142857,419.909747292419
"326","2402","stan","3","0.05",0.0265486725663717,378.309090909091
"327","2403","stan","3","0.05",0.0033112582781457,361.269102990033
"328","2404","stan","3","0.05",0.0317460317460317,371.229508196721
"341","2501","stan","3","0.1",0.0136986301369863,401.125
"342","2502","stan","3","0.1",0.045643153526971,394
"343","2503","stan","3","0.1",0.0126582278481013,415.666666666667
"344","2504","stan","3","0.1",0.0245901639344262,450.021008403361
"227","2101","stan","3","saline",0.029673590504451,346.232415902141
"228","2102","stan","3","saline",0.0029940119760479,337.897897897898
"229","2103","stan","3","saline",0.012012012012012,345.003039513678
"230","2104","stan","3","saline",0.0223642172523962,318.712418300654
"231","2105","stan","3","saline",0.00573065902578797,329.423631123919
"232","2106","stan","3","saline",0.0060790273556231,325.834862385321
"233","2107","stan","3","saline",0.0208955223880597,328.301829268293
"234","2108","stan","3","saline",0.0119047619047619,347.584337349398
"235","2109","stan","3","saline",0.0233463035019455,333.474103585657
"236","2110","stan","3","saline",0.0188679245283019,351.464743589744
"237","2111","stan","3","saline",0.00588235294117647,337.57100591716
"238","2112","stan","3","saline",0.0155038759689922,341.688976377953
"239","2113","stan","3","saline",0.0131578947368421,328.966666666667
"240","2114","stan","3","saline",0.0167785234899329,331.825938566553
"241","2115","stan","3","saline",0.0161290322580645,329.77868852459
"242","2116","stan","3","saline",0.0210843373493976,323.270769230769
"243","2117","stan","3","saline",0.0225806451612903,339.49504950495
"244","2118","stan","3","saline",0.0262295081967213,321.79797979798
"245","2119","stan","3","saline",0.0137931034482759,331.15034965035
"246","2120","stan","3","saline",0.0178041543026706,319.628398791541
"247","2121","stan","3","saline",0.0192926045016077,329.67868852459
"248","2122","stan","3","saline",0.0196078431372549,345.516666666667
"249","2123","stan","3","saline",0.0194805194805195,346.344370860927
"250","2124","stan","3","saline",0.0117302052785924,341.154302670623
"251","2125","stan","3","saline",0.015527950310559,326.104100946372
"252","2126","stan","3","saline",0.0172910662824208,338.275659824047
"253","2127","stan","3","saline",0,365.604501607717
"254","2128","stan","3","saline",0.0241691842900302,376.30959752322
"255","2129","stan","3","saline",0.021505376344086,356.164835164835
"256","2130","stan","3","saline",0.013745704467354,381.543554006969
"257","2131","stan","3","saline",0.0228758169934641,378
"298","2201","stan","4","0.01",0.0135135135135135,350.428082191781
"299","2202","stan","4","0.01",0.00318471337579618,336.11821086262
"300","2203","stan","4","0.01",0.0106761565836299,329.474820143885
"313","2301","stan","4","0.03",0.00684931506849315,341.862068965517
"314","2302","stan","4","0.03",0.00469483568075117,365.759433962264
"315","2303","stan","4","0.03",0.0196078431372549,355.008
"316","2304","stan","4","0.03",0.0289256198347107,352.68085106383
"329","2401","stan","4","0.05",0.0103092783505155,408.947916666667
"330","2402","stan","4","0.05",0.00980392156862745,335.267326732673
"331","2403","stan","4","0.05",0.00355871886120996,347.35
"332","2404","stan","4","0.05",0.00823045267489712,347.958506224066
"345","2501","stan","4","0.1",0.032258064516129,373.247619047619
"346","2502","stan","4","0.1",0.0225225225225225,380.571428571429
"347","2503","stan","4","0.1",0.0208333333333333,374.914893617021
"348","2504","stan","4","0.1",0.0205761316872428,422.945378151261
"258","2101","stan","4","saline",0.0236686390532544,332.036363636364
"259","2102","stan","4","saline",0.0119760479041916,326.857575757576
"260","2103","stan","4","saline",0.0119402985074627,347.567975830816
"261","2104","stan","4","saline",0.00911854103343465,310.423312883436
"262","2105","stan","4","saline",0.00591715976331361,341.1875
"263","2106","stan","4","saline",0.00626959247648903,328.763406940063
"264","2107","stan","4","saline",0.00604229607250755,327.668693009119
"265","2108","stan","4","saline",0.018018018018018,352.018348623853
"266","2109","stan","4","saline",0.0156862745098039,328.860557768924
"267","2110","stan","4","saline",0.016025641025641,346.599348534202
"268","2111","stan","4","saline",0.0173410404624277,348.911764705882
"269","2112","stan","4","saline",0.0340909090909091,333.694117647059
"270","2113","stan","4","saline",0.0101694915254237,326.404109589041
"271","2114","stan","4","saline",0.0125786163522013,318.171974522293
"272","2115","stan","4","saline",0.0238095238095238,315.780487804878
"273","2116","stan","4","saline",0.00895522388059702,315.64156626506
"274","2117","stan","4","saline",0.0102389078498294,322.072413793103
"275","2118","stan","4","saline",0.0231023102310231,309.787162162162
"276","2119","stan","4","saline",0.0205479452054795,322.814685314685
"277","2120","stan","4","saline",0.0207715133531157,327.345454545455
"278","2121","stan","4","saline",0.0185758513931889,331.517350157729
"279","2122","stan","4","saline",0.0336391437308868,342.946202531646
"280","2123","stan","4","saline",0.0160771704180064,344.013071895425
"281","2124","stan","4","saline",0.00564971751412429,343.985795454545
"282","2125","stan","4","saline",0.0033003300330033,331.473509933775
"283","2126","stan","4","saline",0.0148367952522255,334.855421686747
"284","2127","stan","4","saline",0.00638977635782748,355.858520900322
"285","2128","stan","4","saline",0.00970873786407767,376.179738562092
"286","2129","stan","4","saline",0.0215827338129496,347.948529411765
"287","2130","stan","4","saline",0.0272108843537415,366.472027972028
"288","2131","stan","4","saline",0.0232558139534884,371.503401360544
